날짜,라움,마쥬,바네사브루노,산드로,솔리드옴므,시스템옴므,에르메네질도 제냐,엠포리오아르마니,질스튜어트,질스튜어트뉴욕,자딕앤볼테르,이자벨마랑,타임옴므,폴로랄프로렌
2018-01-01,12.46589,29.49877,18.6366,59.41883,28.13442,53.39655016,6.639847398,10.27811917,137.8477375,11.35047473,14.45260726,65.76676827,20.22596958,89.54001866
2018-01-08,13.58609,32.36152,19.46957,56.24491,29.4509,51.51995124,6.970168116,10.69462033,154.7130979,9.622289374,14.32333644,73.23005428,20.5084283,105.8405024
2018-01-15,13.27971,36.01895,20.79084,56.99171,28.8908,46.64657704,7.185590988,10.47919746,156.9199893,8.932929727,19.98182902,49.49982335,19.61799012,90.67939081
2018-01-22,13.36588,36.44501,20.3935,69.14165,29.5275,50.41889159,7.654726601,14.62969507,167.6576999,10.18717856,19.41693984,37.00039705,21.18821546,92.7522636
2018-01-29,13.29886,38.48915,21.99243,72.56929,33.59662,53.27685197,8.818021405,26.66474321,199.4160687,11.42228244,19.0722459,35.7557207,21.23130574,90.66979418
2018-02-05,15.04619,36.36363,21.27435,63.56455,33.62535,53.74121546,8.104745517,20.26903608,219.4457649,11.81483877,19.46960259,38.01047709,22.85416559,97.68785225
2018-02-12,9.58399,34.77428,20.66159,68.54803,31.0594,52.53963079,7.602063912,17.45416593,214.4048302,10.49835471,26.72223759,41.00728411,22.0451076,94.67669874
2018-02-19,13.41375,34.60194,24.1754,58.38,32.34716,53.63111797,8.83716634,16.39139615,231.126547,10.43131912,21.65735163,40.60995566,23.44300009,107.7793142
2018-02-26,12.71961,36.66044,28.64186,54.91885,33.73545,56.90077916,8.674406157,14.18927686,206.3814647,11.01058114,22.51427201,44.28652161,25.89403465,111.2308912
2018-03-05,14.62492,33.74024,31.35621,52.52525,32.77801,52.83643376,8.377603194,12.98289183,163.5598649,10.27335911,21.94938282,37.45996074,24.94138949,108.2676114
2018-03-12,14.21322,42.94604,48.71463,77.28469,45.78007,56.09652247,10.17759415,13.87332896,142.7163396,10.89568316,24.14193222,39.66208262,25.78393703,111.9250233
2018-03-19,14.893,42.91732,57.69543,57.12097,33.94609,49.47582001,8.913774316,12.54727397,133.223304,10.2015514,23.55309771,35.73654751,24.05575167,98.98040564
